"Species","Mean_Ratio_EPP","Lower_95_EPP","Upper_95_EPP"
"Snow voles",0.924389953271146,0.748105052116166,0.997723868999318
"Collared flycatchers",0.840813782911154,0.638718229565719,0.98986287256273
"Superb fairy wrens",0.746481760036869,0.403366586667143,0.987575351790389
"Red squirrels",0.732353126197697,0.34319187847249,0.9870420249491
"Great tits (NL)",0.723603813436342,0.423039291905195,0.982118665981117
"Hihi (Karori)",0.672088579473417,0.188490101929555,0.989312942371126
"Rhesus macaques",0.665198934427248,0.387068871229985,0.955198822578481
"Song sparrows",0.559011796618142,0.19437066247931,0.954585900823419
"Meerkats",0.555916089764173,0.107182246009319,0.972300053996072
"Great tits (UK)",0.514260898170635,0.417937556925731,0.608508984180258
"Blue tits (Rouviere)",0.467947307869527,0.191542245439267,0.885324018123837
"Hihi (Tiritiri)",0.453165352804475,0.0864841814890436,0.926675171676569
"Soay sheep",0.444358311688812,0.230981513585846,0.717839676460676
"Yellow baboons",0.373846775504019,0.0927038683728565,0.780161872970124
"Bighorn sheep",0.322441768053618,0.0864475714378876,0.705945427088543
"Red deer",0.240356448737412,0.120246343005543,0.397006348633499
"Spotted hyenas",0.181046785342561,0.0320081479804953,0.49506598060662
"Blue tits (Pirio)",0.0622554754964968,0.0083655490825112,0.206331584932228
"Blue tits (Muro)",0.0394513092358729,0.00563232222165513,0.127954197452719
